,0
632,0.7498
633,0.773
634,0.7369
635,0.6371
636,0.8478
637,0.8523
638,0.7171
639,0.827
640,0.7287
641,0.7913
642,0.76
643,0.755
644,0.732
645,0.789
646,0.8537
647,0.8709
648,0.7396
649,0.8555
650,0.8284
651,0.9077
652,0.7956
653,0.7827
654,0.9148
655,0.8806
656,0.6385
657,0.8628
658,0.7483
659,0.6552
660,0.8589
661,0.9096
662,0.7594
663,0.8328
664,0.8412
665,0.7644
666,0.6885
667,0.8444
668,0.796
669,0.8855
670,0.7499
671,0.6582
672,0.8854
673,0.8604
674,0.8719
675,0.7948
676,0.8458
677,0.8519
678,0.7536
679,0.675
680,0.8813
681,0.7335
682,0.7812
683,0.7185
684,0.7658
685,0.8916
686,0.758
687,0.7272
688,0.8366
689,0.776
690,0.8742
691,0.8787
692,0.7189
693,0.8541
694,0.8381
695,0.8564
696,0.7904
697,0.7337
698,0.6596
699,0.8496
700,0.8619
701,0.6385
702,0.7055
703,0.8564
704,0.8787
705,0.8049
706,0.8204
707,0.7978
708,0.8604
709,0.8168
710,0.9193
711,0.8681
712,0.8537
713,0.6569
714,0.7272
715,0.7369
716,0.7715
717,0.7644
718,0.9022
719,0.8478
720,0.7207
721,0.7396
722,0.7594
723,0.8806
724,0.8875
725,0.6879
726,0.8412
727,0.7956
728,0.6732
729,0.6371
730,0.869
731,0.7185
732,0.7189
733,0.8496
734,0.7658
735,0.9152
736,0.7337
737,0.9077
738,0.9138
739,0.8183
740,0.827
741,0.8093
742,0.7483
743,0.8925
744,0.8589
745,0.8861
746,0.8634
747,0.8701
748,0.8939
749,0.8381
750,0.7904
751,0.9063
752,0.76
753,0.773
754,0.9108
755,0.7858
756,0.6583
757,0.9036
758,0.8667
759,0.8444
760,0.8284
761,0.6552
762,0.8916
763,0.6694
764,0.791
765,0.7383
766,0.755
767,0.789
768,0.729
769,0.7287
770,0.8511
771,0.7774
772,0.8555
773,0.6954
774,0.7827
775,0.8467
776,0.8519
777,0.6776
778,0.8992
779,0.8653
780,0.8366
781,0.8746
782,0.8604
783,0.881
784,0.7536
785,0.6472
786,0.615
787,0.7171
788,0.8201
789,0.758
790,0.7498
791,0.8328
792,0.668
793,0.7812
794,0.7614
795,0.6487
796,0.6981
797,0.8731
798,0.7335
799,0.8551
800,0.7827
801,0.76
802,0.7352
803,0.776
804,0.8992
805,0.8604
806,0.8496
807,0.6371
808,0.6954
809,0.8861
810,0.8412
811,0.7185
812,0.9096
813,0.789
814,0.8565
815,0.8579
816,0.8787
817,0.8651
818,0.7644
819,0.8902
820,0.8511
821,0.869
822,0.6796
823,0.7276
824,0.8675
825,0.8564
826,0.7337
827,0.881
828,0.6548
829,0.7369
830,0.7594
831,0.7886
832,0.8619
833,0.8701
834,0.9193
835,0.8916
836,0.8836
837,0.755
838,0.8366
839,0.7483
840,0.8458
841,0.9063
842,0.8875
843,0.758
844,0.7913
845,0.7614
846,0.898
847,0.9077
848,0.8746
849,0.7965
850,0.8939
851,0.8523
852,0.7904
853,0.6552
854,0.6596
855,0.8314
856,0.7272
857,0.7189
858,0.7658
859,0.729
860,0.8667
861,0.8693
862,0.8555
863,0.8709
864,0.6746
865,0.8183
866,0.7498
867,0.7956
868,0.6698
869,0.8634
870,0.7396
871,0.8519
872,0.7715
873,0.7383
874,0.8328
875,0.7536
876,0.6472
877,0.8966
878,0.8467
879,0.8284
880,0.8478
881,0.7055
882,0.8103
883,0.827
884,0.9018
885,0.773
886,0.6791
887,0.7812
888,0.8925
889,0.8772
890,0.8551
891,0.9148
892,0.7335
893,0.71
894,0.8795
895,0.732
896,0.7924
897,0.8444
898,0.7774
899,0.8381
900,0.7207
901,0.6926
902,0.7774
903,0.9063
904,0.8477
905,0.675
906,0.7956
907,0.8551
908,0.8284
909,0.7369
910,0.7942
911,0.729
912,0.76
913,0.7287
914,0.8522
915,0.8604
916,0.8412
917,0.8183
918,0.8772
919,0.6472
920,0.7536
921,0.8939
922,0.9242
923,0.9096
924,0.8444
925,0.755
926,0.8902
927,0.758
928,0.7812
929,0.6746
930,0.8701
931,0.7965
932,0.8787
933,0.8791
934,0.9022
935,0.857
936,0.6825
937,0.7498
938,0.7337
939,0.8564
940,0.8649
941,0.732
942,0.7483
943,0.7629
944,0.8458
945,0.7614
946,0.8204
947,0.7387
948,0.773
949,0.8467
950,0.7913
951,0.7715
952,0.8519
953,0.8836
954,0.6552
955,0.8693
956,0.8875
957,0.8651
958,0.8925
959,0.8496
960,0.8746
961,0.9077
962,0.7658
963,0.7185
964,0.801
965,0.898
966,0.6812
967,0.6732
968,0.8681
969,0.8634
970,0.678
971,0.7383
972,0.6487
973,0.8314
974,0.9257
975,0.8328
976,0.7827
977,0.7858
978,0.827
979,0.8795
980,0.776
981,0.7904
982,0.7614
983,0.8381
984,0.7352
985,0.8666
986,0.6583
987,0.6548
988,0.9036
989,0.693
990,0.7335
991,0.7189
992,0.8565
993,0.6371
994,0.8731
995,0.6698
996,0.6385
997,0.8916
998,0.6794
999,0.789
1000,0.9268
1001,0.7715
1002,0.8939
1003,0.8579
1004,0.758
1005,0.8701
1006,0.6794
1007,0.8284
1008,0.7335
1009,0.8537
1010,0.7614
1011,0.7396
1012,0.6548
1013,0.8667
1014,0.6746
1015,0.7987
1016,0.8366
1017,0.8519
1018,0.801
1019,0.8412
1020,0.8795
1021,0.789
1022,0.827
1023,0.8925
1024,0.693
1025,0.8444
1026,0.8001
1027,0.8551
1028,0.8604
1029,0.9082
1030,0.7272
1031,0.6814
