,mol,dup
231,CHEMBL456025(1),CHEMBL456025
232,CHEMBL470029(2),CHEMBL470029
233,CHEMBL430266(2),CHEMBL430266
234,CHEMBL169(11),CHEMBL169
235,CHEMBL426373(11),CHEMBL426373
236,CHEMBL268903(1),CHEMBL268903
237,CHEMBL266753(8),CHEMBL266753
238,CHEMBL601290(1),CHEMBL601290
239,CHEMBL9321(1),CHEMBL9321
240,CHEMBL198882(1),CHEMBL198882
241,CHEMBL426373(12),CHEMBL426373
242,CHEMBL285307(1),CHEMBL285307
243,CHEMBL26216(1),CHEMBL26216
244,CHEMBL188928(1),CHEMBL188928
245,CHEMBL23989(1),CHEMBL23989
246,CHEMBL190535(2),CHEMBL190535
247,CHEMBL324232(1),CHEMBL324232
248,CHEMBL538903(1),CHEMBL538903
249,CHEMBL151248(1),CHEMBL151248
250,CHEMBL370307(1),CHEMBL370307
251,CHEMBL365490(2),CHEMBL365490
252,CHEMBL168(17),CHEMBL168
253,CHEMBL60857(1),CHEMBL60857
254,CHEMBL188928(2),CHEMBL188928
255,CHEMBL235595(1),CHEMBL235595
256,CHEMBL1082297(1),CHEMBL1082297
257,CHEMBL129795(1),CHEMBL129795
258,CHEMBL139702(1),CHEMBL139702
259,CHEMBL1078662(1),CHEMBL1078662
260,CHEMBL369943(1),CHEMBL369943
261,CHEMBL426373(13),CHEMBL426373
262,CHEMBL1086226(1),CHEMBL1086226
263,CHEMBL1164260(1),CHEMBL1164260
264,CHEMBL228397(1),CHEMBL228397
265,CHEMBL169(12),CHEMBL169
266,CHEMBL121(1),CHEMBL121
267,CHEMBL426373(14),CHEMBL426373
268,CHEMBL61058(1),CHEMBL61058
269,CHEMBL9070(1),CHEMBL9070
270,CHEMBL59794(1),CHEMBL59794
271,CHEMBL1086227(1),CHEMBL1086227
272,CHEMBL24843(2),CHEMBL24843
273,CHEMBL24524(1),CHEMBL24524
274,CHEMBL263348(1),CHEMBL263348
275,CHEMBL60857(2),CHEMBL60857
276,CHEMBL168(18),CHEMBL168
277,CHEMBL25395(1),CHEMBL25395
278,CHEMBL274435(1),CHEMBL274435
279,CHEMBL273474(1),CHEMBL273474
280,CHEMBL168(19),CHEMBL168
281,CHEMBL1077438(1),CHEMBL1077438
282,CHEMBL168(20),CHEMBL168
283,CHEMBL269166(2),CHEMBL269166
284,CHEMBL267048(1),CHEMBL267048
285,CHEMBL280969(1),CHEMBL280969
286,CHEMBL61121(1),CHEMBL61121
287,CHEMBL284765(1),CHEMBL284765
288,CHEMBL24607(1),CHEMBL24607
289,CHEMBL25995(1),CHEMBL25995
290,CHEMBL1084871(1),CHEMBL1084871
291,CHEMBL169(13),CHEMBL169
292,CHEMBL280198(1),CHEMBL280198
293,CHEMBL283635(1),CHEMBL283635
294,CHEMBL437964(1),CHEMBL437964
295,CHEMBL400074(1),CHEMBL400074
296,CHEMBL2430577(1),CHEMBL2430577
297,CHEMBL151300(1),CHEMBL151300
298,CHEMBL248291(1),CHEMBL248291
299,CHEMBL24213(3),CHEMBL24213
300,CHEMBL284471(2),CHEMBL284471
301,CHEMBL324232(2),CHEMBL324232
302,CHEMBL168(21),CHEMBL168
303,CHEMBL276983(1),CHEMBL276983
304,CHEMBL286007(3),CHEMBL286007
305,CHEMBL1083269(1),CHEMBL1083269
306,CHEMBL282372(1),CHEMBL282372
307,CHEMBL24267(1),CHEMBL24267
308,CHEMBL441959(1),CHEMBL441959
309,CHEMBL1086230(1),CHEMBL1086230
310,CHEMBL489670(1),CHEMBL489670
311,CHEMBL510912(2),CHEMBL510912
312,CHEMBL481854(1),CHEMBL481854
313,CHEMBL2262828(1),CHEMBL2262828
314,CHEMBL211369(2),CHEMBL211369
315,CHEMBL506934(2),CHEMBL506934
316,CHEMBL470029(3),CHEMBL470029
317,CHEMBL2262837(1),CHEMBL2262837
318,CHEMBL169(14),CHEMBL169
319,CHEMBL1083270(1),CHEMBL1083270
320,CHEMBL25821(1),CHEMBL25821
321,CHEMBL284763(2),CHEMBL284763
322,CHEMBL24095(1),CHEMBL24095
323,CHEMBL1082298(1),CHEMBL1082298
324,CHEMBL444092(1),CHEMBL444092
325,CHEMBL9046(1),CHEMBL9046
326,CHEMBL266056(3),CHEMBL266056
327,CHEMBL50(1),CHEMBL50
328,CHEMBL267488(1),CHEMBL267488
329,CHEMBL370307(2),CHEMBL370307
330,CHEMBL129681(4),CHEMBL129681
331,CHEMBL139393(2),CHEMBL139393
332,CHEMBL248546(1),CHEMBL248546
333,CHEMBL278096(1),CHEMBL278096
334,CHEMBL9087(1),CHEMBL9087
335,CHEMBL8758(4),CHEMBL8758
336,CHEMBL24141(2),CHEMBL24141
337,CHEMBL279242(1),CHEMBL279242
338,CHEMBL2424696(1),CHEMBL2424696
339,CHEMBL1083272(1),CHEMBL1083272
340,CHEMBL169(15),CHEMBL169
341,CHEMBL169(16),CHEMBL169
342,CHEMBL184041(6),CHEMBL184041
343,CHEMBL564124(1),CHEMBL564124
344,CHEMBL2424706(1),CHEMBL2424706
345,CHEMBL2424701(1),CHEMBL2424701
346,CHEMBL1783784(1),CHEMBL1783784
347,CHEMBL592245(1),CHEMBL592245
348,CHEMBL259628(2),CHEMBL259628
349,CHEMBL1783787(1),CHEMBL1783787
350,CHEMBL193134(2),CHEMBL193134
351,CHEMBL510460(1),CHEMBL510460
352,CHEMBL510225(1),CHEMBL510225
353,CHEMBL96952(2),CHEMBL96952
354,CHEMBL168(22),CHEMBL168
355,CHEMBL168(23),CHEMBL168
356,CHEMBL99657(1),CHEMBL99657
357,CHEMBL1783780(1),CHEMBL1783780
358,CHEMBL196526(1),CHEMBL196526
359,CHEMBL1083714(1),CHEMBL1083714
360,CHEMBL276648(1),CHEMBL276648
361,CHEMBL26103(1),CHEMBL26103
362,CHEMBL24032(2),CHEMBL24032
363,CHEMBL1084870(1),CHEMBL1084870
364,CHEMBL278092(2),CHEMBL278092
365,CHEMBL418703(1),CHEMBL418703
366,CHEMBL1082448(1),CHEMBL1082448
367,CHEMBL24098(1),CHEMBL24098
368,CHEMBL276647(1),CHEMBL276647
369,CHEMBL9374(1),CHEMBL9374
370,CHEMBL9473(1),CHEMBL9473
371,CHEMBL280487(3),CHEMBL280487
372,CHEMBL2424695(1),CHEMBL2424695
373,CHEMBL364604(1),CHEMBL364604
374,CHEMBL169(17),CHEMBL169
375,CHEMBL184041(7),CHEMBL184041
376,CHEMBL168(24),CHEMBL168
377,CHEMBL169(18),CHEMBL169
378,CHEMBL445301(2),CHEMBL445301
379,CHEMBL461344(2),CHEMBL461344
380,CHEMBL2262836(1),CHEMBL2262836
381,CHEMBL2263116(1),CHEMBL2263116
382,CHEMBL446073(2),CHEMBL446073
383,CHEMBL481854(2),CHEMBL481854
384,CHEMBL2262826(1),CHEMBL2262826
385,CHEMBL2263117(1),CHEMBL2263117
386,CHEMBL252642(2),CHEMBL252642
387,CHEMBL208485(1),CHEMBL208485
388,CHEMBL611317(1),CHEMBL611317
389,CHEMBL204336(1),CHEMBL204336
390,CHEMBL2347643(1),CHEMBL2347643
391,CHEMBL1290156(1),CHEMBL1290156
392,CHEMBL1783789(1),CHEMBL1783789
393,CHEMBL1783776(1),CHEMBL1783776
394,CHEMBL1783775(1),CHEMBL1783775
395,CHEMBL1783774(1),CHEMBL1783774
396,CHEMBL1783782(1),CHEMBL1783782
397,CHEMBL1783767(1),CHEMBL1783767
398,CHEMBL1783773(1),CHEMBL1783773
399,CHEMBL1783785(1),CHEMBL1783785
400,CHEMBL169(19),CHEMBL169
401,CHEMBL1783779(1),CHEMBL1783779
402,CHEMBL426373(15),CHEMBL426373
403,CHEMBL2430578(1),CHEMBL2430578
404,CHEMBL168(25),CHEMBL168
405,CHEMBL391533(2),CHEMBL391533
406,CHEMBL169(20),CHEMBL169
407,CHEMBL2424692(1),CHEMBL2424692
408,CHEMBL2424714(1),CHEMBL2424714
409,CHEMBL2424712(1),CHEMBL2424712
410,CHEMBL2424689(1),CHEMBL2424689
411,CHEMBL2424708(1),CHEMBL2424708
412,CHEMBL2424698(1),CHEMBL2424698
413,CHEMBL2424694(1),CHEMBL2424694
414,CHEMBL1783781(1),CHEMBL1783781
415,CHEMBL1829864(1),CHEMBL1829864
416,CHEMBL2424687(1),CHEMBL2424687
417,CHEMBL168(26),CHEMBL168
418,CHEMBL169(21),CHEMBL169
419,CHEMBL169(22),CHEMBL169
420,CHEMBL498230(1),CHEMBL498230
421,CHEMBL426373(16),CHEMBL426373
422,CHEMBL168(27),CHEMBL168
423,CHEMBL168(28),CHEMBL168
424,CHEMBL3593819(1),CHEMBL3593819
425,CHEMBL168(29),CHEMBL168
426,CHEMBL169(23),CHEMBL169
427,CHEMBL426373(17),CHEMBL426373
428,CHEMBL592245(2),CHEMBL592245
